Channel	SCS	MNI	World
LA8	[15.807,42.511,20.293]	[-45.783,-3.232,-25.176]	[-41.936,23.215,-16.999]
LA9	[15.973,46.004,20.162]	[-49.721,-3.217,-25.572]	[-45.405,23.672,-16.901]
LA10	[16.139,49.498,20.030]	[-53.653,-3.209,-26.017]	[-48.873,24.129,-16.803]
LA11	[16.305,52.992,19.899]	[-57.567,-3.090,-26.314]	[-52.342,24.585,-16.704]
LA12	[16.471,56.485,19.768]	[-61.420,-2.926,-26.466]	[-55.811,25.042,-16.606]
LH1	[-1.156,23.545,28.222]	[-24.858,-19.357,-15.766]	[-24.351,3.189,-16.744]
LH2	[-0.961,27.039,28.186]	[-28.707,-19.321,-15.801]	[-27.817,3.638,-16.547]
LH3	[-0.765,30.533,28.150]	[-32.566,-19.257,-15.851]	[-31.282,4.086,-16.349]
LH4	[-0.570,34.028,28.114]	[-36.417,-19.156,-15.904]	[-34.748,4.535,-16.152]
LH5	[-0.375,37.522,28.078]	[-40.374,-19.027,-15.959]	[-38.213,4.984,-15.954]
LH6	[-0.179,41.016,28.042]	[-44.429,-18.902,-16.082]	[-41.679,5.432,-15.757]
LH7	[0.016,44.511,28.006]	[-48.482,-18.842,-16.355]	[-45.144,5.881,-15.559]
LH8	[0.211,48.005,27.970]	[-52.562,-18.775,-16.639]	[-48.610,6.329,-15.362]
LH9	[0.407,51.500,27.934]	[-56.543,-18.759,-17.020]	[-52.075,6.778,-15.164]
LH10	[0.602,54.994,27.898]	[-60.473,-18.699,-17.323]	[-55.541,7.227,-14.967]
LH11	[0.797,58.488,27.862]	[-64.365,-18.570,-17.536]	[-59.006,7.675,-14.769]
LH12	[0.993,61.983,27.826]	[-68.282,-18.375,-17.734]	[-62.472,8.124,-14.572]
LP1	[-15.830,25.114,31.718]	[-26.660,-34.034,-11.560]	[-27.101,-11.579,-18.829]
LP2	[-15.403,28.588,31.717]	[-30.548,-33.830,-11.811]	[-30.526,-10.931,-18.515]
LP3	[-14.976,32.062,31.716]	[-34.495,-33.601,-12.056]	[-33.951,-10.282,-18.201]
LP4	[-14.549,35.535,31.715]	[-38.455,-33.289,-12.253]	[-37.376,-9.634,-17.886]
LP5	[-14.123,39.009,31.714]	[-42.368,-32.957,-12.456]	[-40.801,-8.985,-17.572]
LP6	[-13.696,42.483,31.713]	[-46.286,-32.646,-12.741]	[-44.226,-8.337,-17.258]
LP7	[-13.269,45.957,31.712]	[-50.189,-32.336,-13.051]	[-47.651,-7.689,-16.944]
LP8	[-12.842,49.431,31.711]	[-54.070,-32.005,-13.310]	[-51.076,-7.040,-16.630]
LP9	[-12.416,52.905,31.710]	[-57.936,-31.669,-13.520]	[-54.501,-6.392,-16.315]
LP10	[-11.989,56.379,31.709]	[-61.861,-31.347,-13.759]	[-57.926,-5.743,-16.001]
LP11	[-11.562,59.853,31.708]	[-65.845,-30.989,-13.914]	[-61.351,-5.095,-15.687]
LP12	[-11.136,63.327,31.707]	[-69.905,-30.583,-13.994]	[-64.776,-4.446,-15.373]
LS1	[-1.642,37.237,48.354]	[-40.915,-19.456,5.160]	[-37.726,-3.727,2.395]
LS2	[-1.415,40.730,48.308]	[-44.733,-19.271,4.863]	[-41.187,-3.245,2.594]
LS3	[-1.189,44.222,48.262]	[-48.455,-18.956,4.567]	[-44.648,-2.764,2.794]
LS4	[-0.962,47.714,48.216]	[-52.158,-18.624,4.340]	[-48.109,-2.283,2.994]
LS5	[-0.735,51.207,48.171]	[-55.829,-18.397,4.084]	[-51.570,-1.802,3.194]
LS6	[-0.508,54.699,48.125]	[-59.474,-18.280,3.774]	[-55.031,-1.320,3.394]
LS7	[-0.281,58.192,48.079]	[-63.123,-18.206,3.474]	[-58.492,-0.839,3.594]
LS8	[-0.054,61.684,48.033]	[-66.872,-18.095,3.259]	[-61.953,-0.358,3.794]
LT1	[-28.165,41.665,40.876]	[-45.363,-47.024,-3.833]	[-44.493,-25.190,-14.114]
LT2	[-27.746,45.138,41.012]	[-49.043,-46.659,-4.050]	[-47.915,-24.600,-13.675]
LT3	[-27.327,48.610,41.149]	[-52.772,-46.303,-4.237]	[-51.336,-24.009,-13.236]
LT4	[-26.907,52.082,41.285]	[-56.571,-45.954,-4.354]	[-54.758,-23.418,-12.797]
LT5	[-26.488,55.554,41.421]	[-60.448,-45.592,-4.358]	[-58.180,-22.828,-12.358]
