Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times
RA9-RA10,6,"[60.18, 136.065, 363.695, 854.885, 2455.93, 2742.54]",1,[2065.43],3,"[32.745, 129.845, 2774.415]"
RH1-RH2,45,"[394.885, 419.655, 497.59, 517.16, 559.115, 680.785, 892.525, 966.255, 1002.955, 1025.555, 1172.33, 1191.06, 1230.9, 1355.3, 1466.665, 1519.895, 1653.435, 1909.49, 2150.86, 2277.825, 2425.945, 2619.26, 2704.775, 2965.085, 2973.735, 3036.8, 3651.925, 3779.385, 3914.215, 4070.495, 4076.94, 4106.2, 4143.98, 4163.095, 4183.47, 4229.92, 4486.24, 5209.045, 5222.97, 5362.76, 5374.375, 5467.52, 5486.825, 5496.51, 5688.575]",6,"[1296.11, 1484.455, 1561.92, 2702.445, 5668.63, 5851.27]",85,"[85.505, 104.435, 143.66, 167.105, 184.51, 215.9, 320.795, 347.235, 490.895, 513.565, 544.415, 583.4, 688.085, 818.505, 865.52, 868.735, 958.79, 992.895, 1013.96, 1030.63, 1116.725, 1270.99, 1383.895, 1424.66, 1475.785, 1497.415, 1528.995, 1539.11, 1574.29, 1704.49, 1907.13, 2049.24, 2279.355, 2291.565, 2364.39, 2404.24, 2482.59, 2495.28, 2570.285, 2797.115, 2891.37, 2897.575, 3222.98, 3240.975, 3344.89, 3362.79, 3438.58, 3554.38, 3613.165, 3733.65, 3974.395, 4114.945, 4209.105, 4260.045, 4267.735, 4313.94, 4315.65, 4370.53, 4460.925, 4545.19, 4760.64, 4765.565, 4822.31, 4849.325, 4869.915, 5173.405, 5453.865, 5495.215, 5563.81, 5615.83, 5644.16, 5646.46, 5649.505, 5650.825, 5696.915, 5713.255, 5732.87, 5741.12, 5767.41, 5896.985, 5931.91, 5933.165, 5937.62, 6031.955, 6111.21]"
RH10-RH11,40,"[708.51, 864.35, 915.7, 1057.78, 1095.73, 1115.65, 1194.475, 1199.4, 1203.065, 1260.8, 1279.77, 1331.345, 1349.24, 1375.065, 1438.615, 1443.885, 1520.09, 1527.835, 1529.59, 1579.2256875, 1619.375, 1667.69, 1764.155, 1871.315, 1889.865, 2066.69, 2438.83, 2736.635, 2757.3, 2849.935, 3296.89, 5585.675, 5604.89, 5621.99, 5671.46, 5684.965, 5701.25, 5845.33, 5856.52, 6170.375]",6,"[1306.29, 1449.33, 1574.905, 2599.06, 5623.59, 5836.615]",129,"[322.11, 363.085, 675.3199999999999, 735.965, 803.265, 834.25, 841.08, 892.14, 918.305, 928.67, 948.475, 1025.495, 1028.975, 1034.065, 1065.12, 1070.785, 1073.9, 1079.0, 1090.51, 1108.375, 1124.06, 1140.685, 1145.975, 1154.955, 1176.165, 1183.42, 1187.87, 1207.06, 1212.04, 1218.76, 1223.135, 1233.605, 1235.65, 1243.97, 1246.68, 1247.73, 1254.485, 1258.155, 1277.215, 1278.69, 1335.82, 1342.65146875, 1344.99, 1366.715, 1407.275, 1412.675, 1419.99, 1461.17, 1462.655, 1463.9, 1471.86, 1480.335, 1486.455, 1495.09, 1500.26, 1507.4, 1545.13, 1549.305, 1561.92, 1571.665, 1602.365, 1630.655, 1634.17, 1643.615, 1654.07, 1673.22, 1752.03, 1901.92, 1976.19, 1980.03, 1993.47, 1999.555, 2010.555, 2017.08, 2024.955, 2057.725, 2178.065, 2456.36, 2548.345, 2582.445, 2640.84, 2647.87, 2741.225, 2742.415, 2745.465, 2751.085, 2775.32, 2779.305, 2797.62, 3641.075, 4323.6, 4489.45, 4529.8, 4735.96, 5464.635, 5501.815, 5545.815, 5613.34, 5625.355, 5647.33, 5673.9, 5705.675, 5727.42, 5763.43, 5781.285, 5825.95, 5829.41, 5831.235, 5843.295, 5860.725, 5868.98, 5877.255, 5882.185, 5887.74, 5894.89, 5915.505, 5924.475, 5942.535, 5961.13, 5986.88, 6027.26, 6029.65, 6040.115, 6090.96, 6105.9, 6121.22, 6148.36, 6181.28, 6183.87]"
RH11-RH12,59,"[147.345, 153.9, 176.645, 486.625, 634.22, 643.695, 1030.485, 1060.095, 1422.725, 1632.915, 1930.615, 2014.32, 2121.275, 2365.57, 2397.06, 2510.925, 2589.575, 2672.825, 2727.435, 2899.08, 3038.875, 3207.82, 3214.11, 3341.0, 3342.505, 3592.375, 3659.995, 3886.695, 4004.1, 4238.34, 4359.13, 4501.615, 4529.795, 4535.49, 4619.875, 4715.955, 4719.515, 4731.3, 4805.51, 4861.395, 4869.02, 4881.875, 5063.065, 5064.995, 5128.27, 5223.81, 5229.91, 5272.995, 5277.565, 5317.75, 5711.905, 5752.27, 5763.845, 5842.69, 5925.5, 5976.97, 6063.92, 6166.295, 6176.19]",5,"[1174.74, 1829.49, 5237.435, 5858.35, 5895.87]",93,"[199.99, 327.56, 336.69, 353.615, 364.48, 518.13, 1067.165, 1321.42, 1555.6, 1602.215, 1639.135, 1714.81, 1933.815, 1976.185, 2359.615, 2426.26, 2436.38, 2508.725, 2629.135, 2655.275, 2704.365, 2741.225, 2791.66, 2851.45, 2947.085, 3001.305, 3041.355, 3105.94, 3110.795, 3126.77, 3235.395, 3477.84, 3553.435, 3631.815, 3643.08, 3735.945, 3804.465, 3817.635, 3819.06, 3821.235, 3872.44, 3936.715, 3963.72, 3970.325, 4231.655, 4280.13, 4363.485, 4365.91, 4369.16, 4388.13, 4412.33, 4503.075, 4573.99, 4617.77, 4717.005, 4763.27, 4771.875, 4782.465, 4814.03, 4854.11, 4913.7, 4969.565, 4970.84, 4992.545, 5029.235, 5100.53, 5109.055, 5114.545, 5231.58, 5287.645, 5348.01, 5353.81, 5389.655, 5439.66, 5538.215, 5549.425, 5563.12, 5604.5, 5658.72, 5689.36, 5731.5, 5736.185, 5740.985, 5798.55, 5829.235, 5845.395, 5932.88, 6010.985, 6032.235, 6055.91, 6082.01, 6107.91, 6172.49]"
RH2-RH3,26,"[282.93, 517.12, 522.735, 1215.05, 1355.3, 1539.26, 2277.81, 2364.39, 2795.915, 2814.33, 2965.07, 3020.24, 3793.315, 3914.19, 4070.48, 4163.085, 4425.44, 4486.24, 4641.595, 5209.03, 5222.95, 5374.365, 5467.5, 5486.805, 5668.625, 5842.155]",10,"[99.465, 535.61, 1025.87, 1254.42, 1363.835, 1575.275, 2252.18, 2334.785, 2482.925, 5942.54]",119,"[40.34, 64.18, 85.46, 88.45, 173.74, 198.79, 320.775, 358.86, 394.9, 419.625, 467.425, 481.4, 514.235, 574.52, 575.94, 608.435, 625.445, 687.53, 711.65, 714.385, 788.405, 892.505, 910.145, 965.79, 1003.54, 1014.06, 1045.76, 1071.085, 1169.25, 1191.045, 1198.695, 1200.15, 1250.275, 1289.51, 1310.08, 1365.485, 1372.07, 1383.875, 1424.895, 1434.38, 1466.66, 1476.36, 1492.955, 1561.92, 1654.115, 1679.41, 1698.97, 1704.165, 1812.025, 1836.835, 1882.22, 1907.135, 1909.485, 2049.7, 2086.905, 2098.29, 2135.0, 2150.83, 2172.24, 2191.28, 2225.835, 2329.145, 2346.275, 2359.86, 2744.62, 2897.575, 2899.11, 2944.045, 2956.11, 2974.04, 3003.565, 3032.18, 3036.84, 3127.62, 3136.855, 3160.06, 3199.24, 3228.2, 3371.25, 3438.555, 3651.92, 3778.53, 3963.885, 4044.975, 4081.155, 4143.69, 4181.455, 4201.385, 4209.11, 4229.91, 4267.735, 4478.405, 4760.62, 4849.26, 4869.88, 4951.675, 5014.255, 5114.275, 5121.215, 5173.385, 5258.01, 5362.73, 5373.055, 5454.77, 5494.7, 5496.515, 5514.68, 5563.81, 5646.47, 5649.505, 5650.83, 5679.79, 5696.875, 5741.11, 5775.02, 5780.72, 5897.005, 6032.23, 6081.43]"
RH3-RH4,17,"[85.465, 215.945, 535.605, 598.335, 796.67, 1014.215, 1191.38, 1194.44, 1363.98, 1372.135, 2943.45, 3734.17, 4425.5, 4870.235, 5467.96, 5556.36, 5849.165]",17,"[88.45, 218.215, 237.375, 610.6949999999999, 653.545, 656.65, 774.53, 949.825, 970.89, 1003.485, 1023.44, 1263.905, 1271.23, 1355.715, 1492.955, 2279.485, 5374.77]",123,"[53.815, 99.535, 138.33, 156.79, 173.745, 198.785, 212.86, 284.1, 326.2, 341.84, 453.155, 455.145, 467.43271875, 480.08, 481.465, 490.895, 514.24, 517.13, 522.59, 554.495, 567.9200000000001, 600.04, 612.1700000000001, 625.48, 643.69, 672.255, 687.53, 692.835, 707.205, 711.155, 714.385, 735.3199999999999, 738.87, 751.865, 759.815, 763.99, 779.45, 788.4, 807.455, 833.685, 867.225, 875.05, 884.725, 892.53, 893.625, 921.55, 925.385, 953.255, 960.385, 979.705, 1007.975, 1028.755, 1036.4, 1045.755, 1065.255, 1115.77, 1155.33, 1164.095, 1172.32, 1212.935, 1214.94, 1230.905, 1282.735, 1289.51, 1293.545, 1310.085, 1319.32, 1361.995, 1397.28, 1406.545, 1424.89, 1438.59, 1476.365, 1494.965, 1520.32, 1727.375, 2049.34, 2087.325, 2098.285, 2135.02, 2151.175, 2252.18, 2291.93, 2334.785, 2403.905, 2405.395, 2482.92, 2497.35, 2527.97, 2619.645, 2705.1, 2744.63, 2797.14, 2956.14, 2974.04, 3003.65, 3020.085, 3032.18, 3127.29, 3239.295, 3273.985, 3371.25, 3439.0, 3793.93, 3940.11, 4044.975, 4163.53, 4181.51, 4477.58, 4849.325, 4951.705, 5012.045, 5125.035, 5173.8, 5209.46, 5223.37, 5363.185, 5373.055, 5454.77, 5486.79, 5514.47, 5549.04, 6139.02]"
RH4-RH5,6,"[198.29, 1574.885, 2772.54, 3003.63, 3793.34, 5922.285]",2,"[1270.875, 2814.365]",36,"[64.18, 156.785, 467.445, 1025.565, 1355.285, 1484.51, 1550.405, 1792.94, 1882.24, 1947.47, 1976.22, 2057.72, 2122.31, 2150.83, 2252.02, 2291.565, 2425.935, 2593.525, 2705.1, 2943.45, 3651.94, 3733.94, 3964.2, 4081.2, 4163.115, 4183.45, 4315.67, 4460.845, 4690.605, 5114.56, 5649.64, 5696.92, 5713.61, 5789.365, 5909.995, 6031.95]"
RH5-RH6,4,"[53.855, 2772.54, 3344.955, 4617.125]",7,"[679.485, 897.6600000000001, 915.855, 1003.49, 1484.805, 1653.435, 4070.905]",44,"[51.62, 64.305, 336.225, 399.95, 481.325, 513.86, 517.705, 522.585, 535.6, 559.605, 598.3399999999999, 610.7049999999999, 738.875, 834.11, 884.51, 910.14, 1007.97, 1065.085, 1193.99, 1355.28, 1438.59, 1574.91, 1668.335, 1976.225, 2049.335, 2057.72, 2527.615, 2557.23, 2567.655, 2599.06, 2974.195, 3296.52, 3733.64, 4106.15, 4144.29, 4477.5, 4655.315, 4849.325, 5173.8, 5209.35, 5317.76, 5514.475, 5768.04, 6040.11]"
RH6-RH7,4,"[300.26, 404.345, 1633.53, 2568.51]",0,[],6,"[361.255, 1728.035, 2045.37, 2739.895, 2966.965, 4246.275]"
RH7-RH8,1,[1975.12],0,[],4,"[1715.39, 2435.745, 2451.955, 3298.225]"
RH8-RH9,44,"[91.72, 101.6, 142.555, 445.86, 511.605, 541.22, 864.7, 907.83, 933.015, 936.255, 945.805, 948.22, 999.17, 1095.73, 1110.315, 1115.49, 1134.22, 1160.895, 1270.48, 1297.22, 1307.53, 1340.675, 1347.78, 1377.76, 1439.875, 1495.095, 1574.53, 1658.335, 1679.42, 1770.86, 2003.525, 2059.59, 2493.23, 2885.24, 2907.8, 3037.465, 3975.09, 4535.095, 4545.295, 4613.39, 5666.44, 5825.64, 5841.855, 6089.61]",14,"[1243.58, 1255.35, 1343.975, 1529.04, 1593.03, 1728.085, 1897.335, 2950.745, 3207.89, 4119.955, 4362.615, 5628.2, 5976.98, 6107.92]",97,"[145.215, 393.69, 399.985, 408.345, 450.74, 465.69, 539.525, 580.27, 792.2, 797.87, 895.6800000000001, 900.52, 986.805, 1001.655, 1037.255, 1058.895, 1072.025, 1235.655, 1246.78, 1300.865, 1322.05, 1375.075, 1388.8, 1418.57, 1422.725, 1436.475, 1454.045, 1461.16, 1471.38, 1527.015, 1573.475, 1585.58, 1602.01, 1625.02, 1643.62, 1733.6, 1791.375, 1794.335, 1851.775, 1891.825, 1911.56, 1933.96, 1952.525, 2021.685, 2032.115, 2050.44, 2346.48, 2436.88, 2438.9, 2457.245, 2563.975, 2911.335, 2922.53, 3027.475, 3103.105, 3105.93, 3161.205, 3164.56, 3263.475, 3546.745, 3647.75, 4007.34, 4023.18, 4044.37, 4078.465, 4134.15, 4384.375, 4393.775, 4415.82, 4460.34, 4608.41, 4617.83, 4854.11, 5034.98, 5257.48, 5562.38, 5586.33, 5613.025, 5623.585, 5708.975, 5727.7, 5765.99, 5807.615, 5809.74, 5812.92, 5857.96, 5903.475, 5930.71, 5932.4, 5973.565, 6061.94, 6088.29, 6110.63, 6140.745, 6144.25, 6159.395, 6164.75]"
RH9-RH10,20,"[394.815, 400.15, 1181.36, 1479.575, 1540.185, 1658.19, 1947.155, 2742.415, 4320.325, 4384.795, 5060.505, 5144.115, 5240.375, 5272.99, 5498.21, 5508.72, 5637.805, 5808.81, 6117.425, 6123.055]",9,"[1771.105, 3087.69, 3641.07, 4613.705, 4894.48, 5686.815, 5719.86, 5953.26, 6172.74]",102,"[145.195, 1601.98, 1607.495, 1609.295, 1619.42, 1634.17, 1653.435, 1672.255, 1696.335, 1698.315, 1716.47, 1724.155, 1732.26, 1744.43, 1752.03, 1791.35, 1851.775, 1875.865, 1897.685, 1901.38, 1972.44, 2057.56, 2079.375, 2296.66, 2418.91, 2457.245, 2493.23, 2494.76, 2555.295, 2585.765, 2640.84, 2654.87, 2663.335, 2738.75, 2779.31, 2784.67, 3011.475, 3090.075, 3300.15, 3702.645, 4271.0, 4273.73, 4289.68, 4377.715, 4394.045, 4505.195, 4617.82, 4714.75, 4718.3, 4884.01, 5039.7, 5104.655, 5124.97, 5141.715, 5209.35, 5277.565, 5348.12, 5357.78, 5379.625, 5390.115, 5435.89, 5487.03, 5511.7, 5545.82, 5550.93, 5563.965, 5572.365, 5591.015, 5597.36, 5606.03, 5617.32, 5625.355, 5631.73, 5661.09, 5668.04, 5673.9, 5682.465, 5721.97, 5736.24, 5740.99, 5799.285, 5810.575, 5815.675, 5836.99, 5841.86, 5845.705, 5858.35, 5860.715, 5874.25, 5877.555, 5894.195, 5897.625, 5917.435, 5930.72, 5933.21, 5948.785, 6023.7, 6037.615, 6043.89, 6086.91, 6151.055, 6178.07]"
RM1-RM2,0,[],0,[],5,"[212.785, 3027.415, 3629.605, 3984.98, 6073.3]"
RM10-RM11,0,[],0,[],5,"[445.56, 533.91, 665.455, 783.795, 1527.75]"
RM11-RM12,1,[4612.32],1,[7.715],13,"[29.42, 660.52, 1643.615, 1976.46, 2051.905, 2435.22, 2581.345, 2743.7, 2771.5, 3027.42, 3103.7, 3295.715, 5582.965]"
RM12-RM13,0,[],0,[],44,"[400.57, 624.82, 642.29, 783.0, 863.325, 957.63, 998.865, 1130.73, 1162.725, 1514.21, 1518.685, 1715.425, 1976.46, 2548.18, 2568.34, 2742.415, 2997.84, 3233.315, 3240.435, 3281.61, 3344.85, 3384.395, 3525.04, 3559.545, 3574.805, 3601.83, 3806.965, 3814.8, 3969.3, 4005.825, 4057.69, 4060.45, 4700.775, 4702.145, 4851.795, 5014.69, 5577.095, 5579.645, 5749.92, 5919.04, 5973.655, 6011.07, 6123.29, 6166.4]"
RM13-RM14,0,[],0,[],1,[2742.41]
RM14-RM15,1,[5582.95],0,[],2,"[2051.91, 4393.755]"
