Channel,p_spike_1.0_count,p_spike_1.0_times,p_poly_1.0_count,p_poly_1.0_times,p_sw_1.0_count,p_sw_1.0_times
LE3-LE4,84,"[373.28, 440.46, 582.6600000000001, 806.59, 1231.05, 1605.53, 1653.955, 2473.86, 2476.33, 2677.44, 2861.05, 2936.585, 3268.315, 3344.39, 3358.215, 3367.935, 3378.27, 3387.195, 3428.96, 3499.28, 3510.055, 3523.0, 3549.945, 3578.66, 3600.3, 3615.645, 3640.035, 3642.07, 3643.7, 3646.53, 3650.41, 3726.47, 3736.99, 3781.825, 3830.295, 3852.505, 3857.875, 3898.245, 3941.985, 3971.935, 4003.765, 4016.52, 4033.2, 4036.82, 4121.325, 4185.75, 4236.62, 4380.425, 4868.13, 4908.105, 4923.76, 4926.075, 4964.185, 4969.31, 4979.265, 5062.835, 5066.715, 5235.3, 5289.99, 5302.27, 5402.795, 5454.175, 5456.07, 5486.525, 5519.495, 5662.355, 5741.77, 5848.705, 5890.81, 5893.165, 5949.235, 6000.835, 6055.75, 6129.7, 6186.545, 6321.935, 6387.09, 6440.55, 6826.49, 6857.31, 6864.82, 7001.04, 7002.955, 7050.375]",4,"[3733.77, 3849.54, 6132.62, 6199.595]",81,"[443.0, 477.595, 612.475, 641.325, 678.06, 770.85, 816.6949999999999, 1329.075, 1565.9, 1592.06, 1618.705, 1740.71, 1855.525, 1921.325, 1945.295, 2267.345, 3234.38, 3312.255, 3346.305, 3370.5, 3396.105, 3513.895, 3516.495, 3533.805, 3535.335, 3567.955, 3635.09, 3695.435, 3702.19, 3825.52, 3895.715, 3899.85, 3925.945, 3970.355, 4142.74, 4172.855, 4215.545, 4258.35, 4294.735, 4338.36, 4369.805, 4841.29, 4929.215, 4933.315, 4961.655, 4999.255, 5001.695, 5029.87, 5095.595, 5237.515, 5256.635, 5300.415, 5330.74, 5427.43, 5516.515, 5533.52, 5544.995, 5550.57, 5642.395, 5701.475, 5735.465, 5743.38, 5839.97, 5908.385, 5942.195, 5989.94, 6074.25, 6148.39, 6245.05, 6246.905, 6280.8, 6320.36, 6335.425, 6437.77, 6467.505, 6468.94, 6761.135, 6818.635, 6871.6, 7006.86, 7053.715]"
LE4-LE5,97,"[1145.9, 1256.28, 1740.675, 1921.33, 1945.275, 2267.315, 2473.845, 3234.125, 3329.9, 3367.97, 3393.26, 3411.91, 3522.99, 3533.27, 3536.44, 3578.66, 3635.235, 3643.685, 3646.525, 3656.88, 3661.335, 3711.86, 3736.985, 3761.08, 3781.815, 3797.535, 3830.275, 3852.515, 3859.75, 3894.3, 3993.345, 4003.74, 4015.08, 4032.205, 4059.63, 4138.62, 4185.75, 4236.225, 4258.36, 4300.295, 4338.35, 4929.22, 4969.295, 4979.255, 5027.21, 5053.785, 5085.25, 5095.605, 5131.19, 5148.35, 5170.09, 5226.635, 5233.29, 5289.97, 5299.375, 5302.27, 5330.73, 5385.41, 5428.795, 5461.645, 5486.535, 5490.165, 5529.945, 5542.785, 5576.62, 5678.725, 5701.455, 5703.46, 5728.815, 5743.405, 5755.175, 5801.36, 5820.895, 5822.23, 5835.28, 5839.975, 5850.925, 5915.695, 5949.225, 5954.085, 5998.36, 6055.73, 6098.34, 6123.065, 6129.685, 6177.805, 6186.53, 6204.535, 6337.725, 6387.11, 6395.05, 6463.855, 6562.365, 6644.625, 6673.435, 6864.82, 7002.135]",0,[],75,"[563.085, 1893.745, 2442.165, 3358.23, 3360.83, 3477.43, 3500.36, 3513.9, 3516.45, 3565.185, 3567.965, 3616.11, 3627.93, 3702.165, 3825.525, 3899.85, 3985.545, 4005.68, 4049.49, 4066.985, 4073.365, 4116.03, 4133.59, 4137.33, 4142.315, 4169.575, 4176.815, 4238.25, 4273.22, 4274.285, 4281.085, 4297.69, 4307.215, 4382.925, 4933.15, 4936.295, 5050.95, 5079.64, 5304.85, 5329.345, 5357.865, 5389.37, 5412.53, 5481.945, 5495.935, 5519.485, 5621.535, 5642.39, 5700.04, 5735.46, 5737.715, 5847.495, 5935.92, 5938.815, 6057.045, 6059.82, 6199.6, 6225.22, 6250.45, 6307.065, 6321.915, 6335.415, 6389.19, 6454.31, 6456.355, 6511.79, 6571.71, 6608.67, 6683.51, 6717.675, 6726.555, 6816.835, 6826.49, 6866.695, 7006.315]"
LE5-LE6,68,"[1618.695, 3346.29, 3360.545, 3378.26, 3428.92, 3499.575, 3533.84, 3650.395, 3832.685, 3852.5, 3864.625, 3899.85, 3975.43, 3976.78, 4016.505, 4059.635, 4075.91, 4130.47, 4142.73, 4221.925, 4229.725, 4400.645, 4868.84, 4936.76, 4940.12, 4969.28, 4970.345, 5088.915, 5228.45, 5329.365, 5352.805, 5388.735, 5414.305, 5516.535, 5564.155, 5642.425, 5644.72, 5703.435, 5716.76, 5720.53, 5731.38, 5735.485, 5741.755, 5744.23, 5805.525, 5922.43, 5943.955, 5949.215, 6055.73, 6064.61, 6129.67, 6137.33, 6187.87, 6196.85, 6201.325, 6277.145, 6305.92, 6366.555, 6426.08, 6495.405, 6502.245, 6516.29, 6610.47, 6642.99, 6673.435, 6825.695, 6855.545, 6871.59]",12,"[3393.25, 3600.265, 3695.425, 3702.155, 3978.985, 4258.345, 5713.005, 5893.115, 6006.57, 6420.37, 6644.155, 7001.0]",103,"[678.0550000000001, 1653.95, 1921.33, 2267.33, 2473.86, 2677.435, 2861.04, 3367.965, 3399.16, 3477.29, 3510.045, 3513.89, 3516.49, 3522.975, 3536.025, 3549.935, 3561.665, 3565.18, 3567.985, 3582.505, 3615.64, 3627.93, 3634.845, 3661.305, 3712.7, 3733.8, 3897.255, 4008.765, 4036.525, 4047.345, 4051.475, 4070.635, 4148.525, 4151.185, 4157.065, 4177.01, 4180.01, 4210.71, 4238.4, 4254.065, 4264.745, 4358.67, 4880.3, 4933.31, 4960.1, 4972.005, 4979.255, 5027.955, 5067.96, 5070.005, 5079.64, 5119.935, 5233.265, 5256.445, 5261.33, 5305.985, 5307.975, 5330.705, 5383.39, 5384.705, 5402.76, 5418.09, 5481.12, 5519.465, 5529.91, 5607.33, 5728.815, 5762.545, 5839.74, 5854.1, 5904.77, 5942.215, 5961.85, 5971.22, 5989.925, 6018.985, 6049.495, 6053.315, 6074.245, 6097.33, 6148.39, 6225.205, 6241.985, 6246.91, 6320.385, 6337.75, 6375.065, 6385.675, 6456.345, 6469.39, 6691.505, 6815.67, 6857.09, 6859.075, 6868.66, 6869.96, 7002.955, 7006.635, 7029.61, 7048.96, 7050.375, 7053.68, 7091.74]"
LE6-LE7,87,"[43.98, 563.075, 678.045, 1617.23, 1653.94, 2267.325, 3234.135, 3499.58, 3533.825, 3536.02, 3591.56, 3600.265, 3736.965, 3832.635, 3852.49, 3875.705, 3894.275, 3899.855, 3971.895, 4003.755, 4008.76, 4020.9, 4070.635, 4124.245, 4142.31, 4214.12, 4236.57, 4241.595, 4254.07, 4258.365, 4326.89, 4338.345, 4340.52, 4382.925, 4391.15, 5079.595, 5235.65, 5237.515, 5305.52, 5329.375, 5398.34, 5430.26, 5490.16, 5532.405, 5564.75, 5593.05, 5595.715, 5735.485, 5789.6, 5829.565, 5847.955, 5869.305, 5879.57, 5893.12, 5895.045, 5934.385, 5938.255, 5946.665, 5956.105, 5960.73, 5969.935, 6049.495, 6055.735, 6185.455, 6196.815, 6241.77, 6245.5, 6246.91, 6320.38, 6331.155, 6337.74, 6375.065, 6420.37, 6474.69, 6502.245, 6560.815, 6575.985, 6577.82, 6604.305, 6625.67, 6695.595, 6698.335, 6718.625, 6762.05, 7001.01, 7050.37, 7053.68]",9,"[1145.905, 3514.06, 3627.92, 3970.335, 4933.725, 5703.435, 5839.965, 5906.18, 5908.385]",148,"[74.36, 612.455, 788.76, 1224.265, 1231.095, 1256.285, 1618.69, 1677.285, 1699.93, 1727.9, 1921.31, 1945.27, 2479.92, 2861.035, 2937.345, 2985.7, 3034.075, 3200.555, 3312.255, 3329.69, 3337.15, 3346.285, 3493.035, 3510.035, 3516.485, 3520.15, 3578.61, 3616.1, 3617.6, 3640.015, 3642.05, 3646.5, 3695.42, 3702.155, 3723.9, 3742.31, 3760.01, 3775.035, 3863.31, 3870.265, 3892.975, 3943.725, 3982.31, 3993.315, 4016.495, 4035.175, 4059.63, 4061.77, 4150.905, 4157.05, 4172.835, 4176.795, 4180.26, 4215.565, 4238.37, 4244.78, 4264.74, 4294.895, 4297.69, 4311.645, 4332.16, 4348.49, 4369.825, 4880.3, 4908.89, 4936.11, 4939.94, 4947.58, 4960.125, 4969.28, 4970.345, 4971.88, 4976.79, 4979.25, 5027.18, 5049.435, 5130.28, 5157.005, 5256.625, 5260.98, 5298.52, 5307.97, 5330.72, 5357.87, 5383.405, 5384.725, 5389.345, 5402.76, 5409.445, 5438.84, 5441.01, 5447.655, 5459.77, 5476.86, 5512.025, 5579.2, 5620.485, 5621.535, 5661.045, 5672.035, 5700.39, 5720.525, 5776.465, 5819.36, 5850.925, 5914.045, 5922.275, 5943.95, 5949.88, 5971.175, 5985.535, 6009.395, 6018.74, 6059.815, 6074.24, 6121.765, 6141.945, 6174.8, 6177.805, 6187.815, 6213.895, 6225.215, 6251.4, 6260.735, 6280.795, 6335.295, 6387.09, 6411.395, 6412.41, 6414.56, 6433.74, 6438.295, 6469.39, 6506.455, 6516.265, 6571.705, 6582.375, 6619.4, 6644.62, 6673.435, 6691.51, 6810.025, 6868.665, 6871.58, 7002.945, 7006.63, 7047.31, 7055.68]"
LE7-LE8,103,"[562.485, 678.065, 1145.94, 1605.535, 1618.72, 1893.75, 1944.76, 2743.285, 2936.64, 3396.075, 3479.09, 3493.25, 3499.59, 3526.525, 3536.035, 3581.245, 3598.99, 3616.115, 3627.94, 3634.095, 3643.675, 3646.49, 3711.825, 3742.28, 3760.01, 3825.715, 3941.515, 4016.485, 4261.585, 4336.425, 4338.33, 4340.775, 4883.115, 4933.735, 4969.27, 4979.245, 5062.375, 5085.24, 5127.08, 5170.03, 5228.415, 5237.56, 5261.325, 5271.31, 5305.515, 5332.56, 5427.34, 5459.69, 5466.97, 5481.93, 5533.575, 5544.95, 5593.045, 5595.715, 5616.63, 5622.58, 5656.78, 5662.37, 5716.755, 5731.325, 5735.495, 5819.355, 5828.695, 5832.58, 5842.31, 5879.575, 5914.04, 5922.435, 5925.75, 5941.02, 5943.955, 5946.66, 5961.825, 5975.985, 6049.49, 6055.74, 6056.995, 6059.805, 6069.695, 6074.25, 6140.625, 6141.925, 6186.495, 6187.8, 6238.195, 6246.93, 6281.26, 6331.165, 6337.725, 6352.925, 6405.095, 6420.38, 6426.025, 6502.205, 6577.82, 6673.42, 6696.32, 6762.035, 6766.99, 6774.58, 6864.82, 7002.95, 7095.045]",11,"[3399.165, 3700.56, 3764.41, 3909.335, 5502.145, 5620.495, 5808.745, 5839.97, 5893.12, 6001.585, 6818.59]",176,"[43.98, 592.71, 728.965, 999.555, 1256.305, 1374.285, 1416.785, 1420.4, 1489.18, 1514.915, 1614.27, 1617.24, 1653.965, 1679.32, 1709.105, 1740.72, 1921.355, 1946.66, 1970.08, 2171.785, 2267.365, 2442.175, 2464.605, 2639.255, 2696.205, 3297.24, 3312.34, 3409.54, 3411.91, 3427.635, 3477.295, 3481.92, 3491.92, 3510.46, 3528.49, 3612.02, 3649.715, 3658.39, 3688.085, 3736.97, 3817.865, 3893.01, 3911.08, 3913.67, 3975.405, 4008.775, 4040.855, 4051.635, 4059.62, 4061.765, 4072.175, 4073.34, 4135.955, 4166.375, 4176.795, 4183.915, 4195.76, 4258.39, 4264.73, 4274.29, 4299.79, 4324.365, 4361.28, 4391.115, 4398.63, 4405.445, 4874.5, 4891.6, 4939.935, 4960.135, 4961.52, 4967.6, 4970.34, 4988.11, 4993.875, 4999.365, 5002.21, 5024.63, 5036.0, 5063.665, 5083.125, 5111.705, 5141.405, 5224.625, 5246.43, 5256.455, 5301.315, 5303.03, 5308.465, 5352.755, 5361.465, 5375.95, 5398.335, 5401.115, 5406.94, 5412.175, 5424.03, 5428.79, 5430.26, 5444.735, 5447.655, 5491.315, 5506.085, 5542.575, 5568.6, 5570.23, 5579.355, 5605.22, 5621.525, 5624.31, 5655.235, 5714.785, 5720.51, 5728.78, 5737.7, 5754.545, 5756.175, 5769.265, 5775.965, 5801.34, 5843.915, 5847.485, 5854.055, 5894.995, 5929.985, 5934.385, 5949.9, 5956.12, 5996.995, 5998.35, 6006.545, 6053.315, 6072.115, 6095.99, 6097.255, 6130.16, 6148.395, 6201.275, 6204.515, 6266.22, 6285.48, 6297.685, 6305.595, 6320.225, 6335.71, 6342.715, 6381.305, 6386.87, 6395.035, 6397.085, 6434.085, 6445.225, 6447.28, 6452.185, 6474.245, 6506.455, 6511.765, 6516.265, 6559.5, 6567.845, 6568.915, 6575.975, 6644.17, 6666.07, 6683.48, 6687.93, 6726.375, 6751.195, 6866.705, 6871.55, 7000.595, 7006.64, 7034.63, 7037.88, 7091.48, 7111.705]"
LE8-LE9,98,"[579.63, 1416.785, 1653.94, 1893.78, 1944.79, 2473.85, 2861.015, 3034.085, 3337.18, 3359.12, 3378.255, 3427.63, 3499.28, 3522.52, 3565.185, 3567.975, 3627.93, 3634.85, 3700.58, 3745.72, 3797.535, 3852.485, 3899.855, 3909.345, 3941.95, 3962.055, 4044.265, 4061.765, 4127.61240625, 4130.46, 4142.74, 4236.575, 4338.36, 4400.65, 4929.225, 4933.735, 4940.085, 4969.28, 4970.36, 4988.13, 5027.18, 5063.685, 5067.955, 5069.99, 5079.61, 5111.71, 5159.695, 5226.09, 5232.76084375, 5235.27, 5256.635, 5289.965, 5303.03, 5307.965, 5329.37, 5330.7, 5332.58, 5375.975, 5486.545, 5544.975, 5546.525, 5671.425, 5700.04, 5701.455, 5735.49, 5737.725, 5906.17, 5908.395, 5922.43, 5942.195, 5943.955, 5956.11, 5980.665, 6012.59, 6053.955, 6057.025, 6074.25, 6121.76, 6187.825, 6201.295, 6242.045, 6246.91, 6279.645, 6307.065, 6320.385, 6331.16, 6390.25, 6414.57, 6420.375, 6445.21, 6469.395, 6506.475, 6508.735, 6673.44, 6683.49, 6723.53, 6818.595, 7001.02]",12,"[3313.75303125, 3399.16, 3600.265, 3719.79, 4070.07, 4225.075, 4261.58, 5258.115, 5305.99, 5895.02, 6018.875, 6392.79]",197,"[74.33, 999.56, 1373.93, 1618.685, 1709.12, 1970.075, 2171.76, 2267.32, 2442.21, 2476.38, 2639.255, 2677.44, 3218.665, 3297.245, 3325.315, 3329.69, 3357.105, 3395.985, 3409.52, 3455.335, 3477.29, 3479.11, 3481.925, 3491.91, 3513.64, 3535.815, 3560.025, 3561.65, 3569.82, 3581.225, 3616.09, 3617.66, 3649.715, 3656.87, 3661.305, 3693.49, 3695.205, 3712.16, 3736.8, 3743.615, 3800.63, 3824.855, 3830.245, 3857.195, 3913.585, 3948.185, 3960.355, 3985.53, 3986.55, 3993.32, 4005.665, 4014.285, 4016.495, 4051.65, 4059.065, 4068.895, 4072.195, 4080.105, 4111.145, 4116.025, 4121.31, 4125.285, 4146.25, 4151.085, 4166.395, 4169.575, 4188.4, 4196.48, 4200.105, 4214.52, 4221.945, 4227.365, 4241.61, 4248.98, 4250.93271875, 4264.75, 4267.92, 4281.075, 4294.91, 4323.17, 4324.36, 4326.895, 4330.495, 4340.415, 4343.175, 4361.275, 4369.855, 4379.92, 4391.1, 4398.685, 4891.635, 4944.03, 4961.5, 4995.38, 5015.9131875, 5024.665, 5083.12, 5090.435, 5092.265, 5095.58, 5107.88, 5131.175, 5170.055, 5237.385, 5276.025, 5299.365, 5344.675, 5369.705, 5385.41, 5389.355, 5398.305, 5424.015, 5427.35, 5440.965, 5444.74, 5447.68, 5495.945, 5507.75, 5513.115, 5532.07, 5579.205, 5593.07, 5607.33, 5613.185, 5620.51, 5637.12, 5644.715, 5656.8, 5678.725, 5703.43, 5710.35, 5720.535, 5727.535, 5755.165, 5801.345, 5847.48, 5850.69, 5866.825, 5879.57, 5893.125, 5904.72, 5914.05, 5932.395, 5946.675, 5949.89, 5960.7, 5976.0, 5987.435, 5989.87, 6004.66, 6006.56, 6010.36, 6027.605, 6049.505, 6072.135, 6114.995, 6132.59, 6148.39, 6178.395, 6185.45, 6192.82, 6204.13, 6222.6, 6235.62, 6238.195, 6267.13, 6277.12, 6298.25, 6305.87, 6335.73, 6385.675, 6397.09, 6424.165, 6425.725, 6447.28, 6467.475, 6475.31, 6499.72, 6502.25, 6503.86, 6571.69, 6603.795, 6687.93, 6726.535, 6751.18, 6759.425, 6761.11, 6811.075, 6815.675, 6816.82, 6855.54, 6864.45, 6930.755, 7006.635, 7037.915, 7043.225, 7052.57]"
LE9-LE10,40,"[562.52, 1893.75, 1921.355, 1944.76, 2442.175, 3268.3, 3297.24, 3392.37, 3428.485, 3510.06, 3536.02, 3579.815, 3635.275, 3711.82, 3734.71, 4116.04, 4128.325, 4332.865, 5050.97, 5233.3, 5454.18, 5544.965, 5661.04, 5711.6, 5735.475, 5743.405, 5834.21, 5869.305, 5922.405, 5989.955, 6000.825, 6129.7, 6326.775, 6375.06, 6405.095, 6474.685, 6521.46, 6562.345, 6577.815, 6871.555]",8,"[3234.13, 3946.45, 4229.74, 4258.365, 5839.965, 6718.625, 6818.51, 6864.78]",90,"[579.635, 999.565, 1145.945, 1618.725, 1653.97, 1679.355, 1699.405, 1717.88, 2267.365, 2743.03, 2936.585, 3344.4, 3346.26, 3369.8, 3387.195, 3399.145, 3499.565, 3514.055, 3549.945, 3577.96, 3580.97, 3615.61, 3627.915, 3645.515, 3661.3, 3736.97, 3941.945, 3982.97, 4016.495, 4032.145, 4059.62, 4070.63, 4142.74, 4172.11, 4185.77, 4218.595, 4254.06, 4273.225, 4297.805, 4311.635, 4380.42, 4878.44, 4880.315, 4923.735, 4964.19, 4978.04, 5069.995, 5090.65146875, 5115.015, 5133.625, 5154.435, 5291.305, 5300.415, 5307.97, 5330.74, 5385.39, 5389.335, 5529.9, 5533.515, 5550.56, 5640.18, 5642.39, 5700.385, 5720.515, 5847.445, 5879.505, 5893.135, 5915.67, 6049.485, 6059.835, 6074.235, 6099.05, 6123.08, 6132.56, 6148.375, 6246.905, 6305.89, 6392.915, 6463.845, 6469.385, 6610.47, 6673.425, 6726.515, 6825.68, 6857.32, 6868.66, 6971.96, 7006.62, 7050.37, 7091.545]"
LH1-LH2,45,"[25.945, 49.895, 55.455, 87.305, 316.595, 336.45, 442.97, 562.44, 596.5450000000001, 641.33, 743.345, 769.645, 999.47, 1418.29, 1443.05, 1591.65, 1789.8, 2423.425, 2664.535, 2860.925, 3234.435, 3338.785, 3535.505, 3609.025, 3630.0, 3852.505, 3861.485, 4146.085, 4236.59, 4301.35, 4307.295, 4345.665, 4637.25, 4724.76, 4877.595, 5028.09, 5282.855, 5486.485, 5735.47, 5906.53, 6057.26, 6199.6, 6237.975, 6332.655, 6397.05]",10,"[1921.28, 2024.865, 2473.85, 3514.085, 3550.135, 4964.28, 5156.945, 5300.635, 5691.62, 5956.63]",123,"[455.785, 477.605, 535.045, 563.79, 579.56, 770.86, 773.505, 1015.605, 1067.025, 1329.1, 1416.7, 1454.86, 1565.905, 1614.1, 1630.34, 1710.325, 1740.84, 1855.53, 1870.485, 2267.53, 2302.205, 2476.04, 2477.885, 2723.315, 2936.615, 3297.175, 3329.89, 3332.735, 3335.1, 3337.64, 3356.3, 3360.795, 3367.97, 3393.66, 3398.745, 3481.87, 3492.71, 3499.885, 3528.965, 3533.825, 3581.16, 3627.94, 3635.055, 3642.01, 3649.71, 3659.635, 3712.095, 3761.045, 3826.725, 3848.22, 3897.435, 3929.99, 4008.955, 4052.76, 4063.82, 4082.94, 4111.615, 4126.515, 4142.41, 4151.375, 4157.215, 4176.85, 4179.815, 4214.32, 4238.185, 4254.445, 4258.32, 4327.645, 4339.67, 4616.31, 4722.07, 4775.26, 4855.635, 4865.39, 4933.77, 5003.63, 5029.91, 5053.61, 5063.7, 5067.98, 5122.0, 5132.525, 5357.91, 5427.44, 5459.42, 5475.33, 5511.11, 5516.545, 5546.54, 5587.905, 5728.825, 5819.285, 5821.93, 5839.935, 5866.775, 5881.885, 5908.285, 5914.1, 5922.255, 5942.215, 5949.215, 5958.02, 5980.6, 5990.105, 6005.81, 6010.625, 6028.475, 6046.365, 6089.58, 6141.89, 6335.28, 6387.065, 6452.38, 6460.445, 6497.38, 6511.795, 6661.445, 6733.505, 6858.715, 6958.74, 7008.895, 7049.925, 7090.065]"
LH10-LH11,2,"[792.55, 3019.99]",0,[],1,[3068.075]
LH11-LH12,2,"[3269.065, 4425.925]",0,[],1,[5907.57]
