Channel	SCS	MNI	World
LA1	[15.836,18.598,22.631]	[-19.546,-1.520,-22.903]	[-17.157,13.192,25.207]
LA2	[15.741,22.070,22.202]	[-23.230,-1.393,-23.388]	[-20.602,13.094,24.599]
LA3	[15.646,25.542,21.773]	[-26.914,-1.265,-23.872]	[-24.047,12.995,23.991]
LA4	[15.552,29.015,21.344]	[-30.597,-1.137,-24.357]	[-27.493,12.896,23.384]
LA5	[15.457,32.487,20.915]	[-34.281,-1.010,-24.842]	[-30.938,12.798,22.776]
LA6	[15.362,35.959,20.486]	[-37.965,-0.882,-25.326]	[-34.384,12.699,22.169]
LA7	[15.267,39.431,20.057]	[-41.649,-0.755,-25.811]	[-37.829,12.601,21.561]
LA8	[15.173,42.904,19.628]	[-45.333,-0.627,-26.296]	[-41.275,12.502,20.953]
LA9	[15.078,46.376,19.199]	[-49.017,-0.500,-26.780]	[-44.720,12.404,20.346]
LA10	[14.983,49.848,18.770]	[-52.701,-0.372,-27.265]	[-48.166,12.305,19.738]
LA11	[14.888,53.321,18.341]	[-56.385,-0.245,-27.750]	[-51.611,12.206,19.131]
LA12	[14.794,56.793,17.912]	[-60.068,-0.117,-28.234]	[-55.056,12.108,18.523]
LH1	[-4.648,13.983,27.740]	[-14.616,-22.869,-16.746]	[-11.746,-7.724,24.708]
LH2	[-4.815,17.470,27.495]	[-18.315,-22.814,-17.023]	[-15.210,-7.943,24.256]
LH3	[-4.981,20.957,27.249]	[-22.013,-22.759,-17.300]	[-18.674,-8.161,23.804]
LH4	[-5.148,24.445,27.004]	[-25.712,-22.705,-17.577]	[-22.138,-8.380,23.352]
LH5	[-5.314,27.932,26.758]	[-29.410,-22.650,-17.854]	[-25.601,-8.599,22.900]
LH6	[-5.480,31.420,26.512]	[-33.109,-22.595,-18.131]	[-29.065,-8.817,22.448]
LH7	[-5.647,34.907,26.267]	[-36.807,-22.540,-18.408]	[-32.529,-9.036,21.996]
LH8	[-5.813,38.395,26.021]	[-40.506,-22.485,-18.685]	[-35.993,-9.255,21.545]
LH9	[-5.979,41.882,25.776]	[-44.204,-22.430,-18.962]	[-39.457,-9.473,21.093]
LH10	[-6.146,45.369,25.530]	[-47.903,-22.375,-19.239]	[-42.921,-9.692,20.641]
LH11	[-6.312,48.857,25.285]	[-51.601,-22.320,-19.516]	[-46.384,-9.911,20.189]
LH12	[-6.479,52.344,25.039]	[-55.300,-22.266,-19.793]	[-49.848,-10.130,19.737]
LP1	[-26.439,24.405,35.126]	[-25.609,-44.587,-8.022]	[-21.366,-31.072,25.301]
LP2	[-26.494,27.897,34.904]	[-29.312,-44.417,-8.275]	[-24.841,-31.190,24.903]
LP3	[-26.549,31.390,34.683]	[-33.016,-44.247,-8.527]	[-28.316,-31.309,24.504]
LP4	[-26.604,34.882,34.461]	[-36.720,-44.078,-8.780]	[-31.791,-31.427,24.106]
LP5	[-26.659,38.375,34.239]	[-40.424,-43.908,-9.032]	[-35.267,-31.546,23.707]
LP6	[-26.714,41.867,34.018]	[-44.128,-43.739,-9.285]	[-38.742,-31.664,23.308]
LP7	[-26.769,45.360,33.796]	[-47.831,-43.569,-9.537]	[-42.217,-31.783,22.910]
LP8	[-26.824,48.852,33.574]	[-51.535,-43.399,-9.790]	[-45.692,-31.902,22.511]
LP9	[-26.879,52.345,33.353]	[-55.239,-43.230,-10.042]	[-49.167,-32.020,22.113]
LP10	[-26.934,55.838,33.131]	[-58.943,-43.060,-10.294]	[-52.643,-32.139,21.714]
LP11	[-26.989,59.330,32.909]	[-62.646,-42.890,-10.547]	[-56.118,-32.257,21.315]
LP12	[-27.044,62.823,32.688]	[-66.350,-42.721,-10.799]	[-59.593,-32.376,20.917]
LE1	[2.733,20.831,23.200]	[-21.909,-14.841,-22.005]	[-18.772,0.371,22.042]
LE2	[-0.283,20.702,24.971]	[-21.759,-17.948,-19.953]	[-18.562,-3.010,22.921]
LE3	[-3.298,20.572,26.743]	[-21.609,-21.055,-17.901]	[-18.352,-6.391,23.800]
LE4	[-6.314,20.443,28.515]	[-21.458,-24.162,-15.849]	[-18.142,-9.773,24.679]
LE5	[-9.330,20.313,30.287]	[-21.308,-27.270,-13.798]	[-17.932,-13.154,25.557]
LE6	[-12.345,20.184,32.059]	[-21.157,-30.377,-11.746]	[-17.723,-16.536,26.436]
LE7	[-15.361,20.055,33.831]	[-21.007,-33.484,-9.694]	[-17.513,-19.917,27.315]
LE8	[-18.376,19.925,35.603]	[-20.857,-36.591,-7.642]	[-17.303,-23.298,28.194]
LE9	[-21.392,19.796,37.375]	[-20.706,-39.698,-5.590]	[-17.093,-26.680,29.073]
LE10	[-24.407,19.666,39.147]	[-20.556,-42.806,-3.538]	[-16.883,-30.061,29.952]
LE11	[-27.423,19.537,40.919]	[-20.406,-45.913,-1.486]	[-16.673,-33.442,30.831]
LE12	[-30.439,19.407,42.690]	[-20.255,-49.020,0.566]	[-16.463,-36.824,31.710]
