Channel	SCS	MNI	World
RH1	[-6.532,-20.396,29.252]	[24.404,-25.015,-13.403]	[16.334,-1.787,21.573]
RH2	[-6.467,-23.891,29.083]	[28.222,-24.771,-13.425]	[19.815,-1.432,21.651]
RH3	[-6.402,-27.387,28.914]	[32.022,-24.637,-13.557]	[23.296,-1.076,21.730]
RH4	[-6.337,-30.882,28.745]	[35.785,-24.565,-13.771]	[26.777,-0.721,21.808]
RH5	[-6.272,-34.377,28.576]	[39.595,-24.518,-13.958]	[30.258,-0.365,21.886]
RH6	[-6.207,-37.873,28.406]	[43.291,-24.457,-14.041]	[33.739,-0.010,21.965]
RH7	[-6.142,-41.368,28.237]	[46.958,-24.391,-14.091]	[37.220,0.345,22.043]
RH8	[-6.078,-44.863,28.068]	[50.674,-24.264,-14.057]	[40.701,0.701,22.122]
RH9	[-6.013,-48.359,27.899]	[54.457,-24.120,-14.056]	[44.182,1.056,22.200]
RH10	[-5.948,-51.854,27.730]	[58.304,-24.001,-14.140]	[47.664,1.412,22.278]
RH11	[-5.883,-55.349,27.561]	[62.196,-23.936,-14.352]	[51.145,1.767,22.357]
RH12	[-5.818,-58.844,27.391]	[66.121,-23.937,-14.719]	[54.626,2.123,22.435]
RA1	[14.834,-17.576,18.787]	[19.652,-2.822,-25.743]	[12.375,20.098,12.664]
RA2	[14.824,-21.075,18.710]	[23.448,-2.909,-25.913]	[15.861,20.371,12.829]
RA3	[14.813,-24.574,18.633]	[27.222,-2.925,-26.017]	[19.346,20.644,12.993]
RA4	[14.803,-28.073,18.556]	[30.983,-2.883,-26.068]	[22.831,20.917,13.158]
RA5	[14.793,-31.572,18.479]	[34.871,-2.790,-26.129]	[26.317,21.191,13.322]
RA6	[14.783,-35.071,18.402]	[38.727,-2.724,-26.205]	[29.802,21.464,13.486]
RA7	[14.772,-38.570,18.325]	[42.516,-2.691,-26.286]	[33.288,21.737,13.651]
RA8	[14.762,-42.070,18.248]	[46.341,-2.632,-26.371]	[36.773,22.010,13.815]
RA9	[14.752,-45.569,18.172]	[50.227,-2.521,-26.409]	[40.259,22.284,13.980]
RA10	[14.741,-49.068,18.095]	[54.056,-2.407,-26.310]	[43.744,22.557,14.144]
RA11	[14.731,-52.567,18.018]	[57.877,-2.389,-26.322]	[47.230,22.830,14.308]
RA12	[14.721,-56.066,17.941]	[61.734,-2.429,-26.450]	[50.715,23.103,14.473]
RX1	[27.313,-34.097,30.159]	[37.603,11.120,-12.354]	[27.041,32.837,26.104]
RX2	[29.627,-34.059,32.784]	[37.488,13.871,-9.461]	[26.644,34.911,28.895]
RX3	[31.942,-34.021,35.409]	[37.407,16.692,-6.603]	[26.247,36.985,31.687]
RX4	[34.257,-33.983,38.034]	[37.371,19.519,-3.730]	[25.850,39.058,34.478]
RX5	[36.572,-33.945,40.659]	[37.406,22.347,-0.831]	[25.453,41.132,37.269]
RX6	[38.886,-33.908,43.284]	[37.512,25.158,2.122]	[25.056,43.206,40.061]
RX7	[41.201,-33.870,45.909]	[37.715,27.928,5.196]	[24.659,45.280,42.852]
RX8	[43.516,-33.832,48.534]	[37.938,30.552,8.288]	[24.262,47.354,45.643]
RX9	[45.830,-33.794,51.159]	[38.081,33.057,11.333]	[23.865,49.428,48.435]
RX10	[48.145,-33.756,53.784]	[38.119,35.576,14.369]	[23.468,51.502,51.226]
RX11	[50.460,-33.718,56.409]	[38.248,38.140,17.366]	[23.071,53.575,54.017]
RX12	[52.775,-33.680,59.034]	[38.425,40.728,20.313]	[22.674,55.649,56.809]
RX13	[55.089,-33.642,61.659]	[38.510,43.306,23.231]	[22.277,57.723,59.600]
RX14	[57.404,-33.605,64.284]	[38.508,45.877,26.109]	[21.880,59.797,62.391]
RX15	[59.719,-33.567,66.909]	[38.508,48.486,29.008]	[21.483,61.871,65.183]
RO1	[23.990,-35.996,33.947]	[39.987,7.793,-7.600]	[28.975,29.366,29.739]
RO2	[26.755,-37.495,35.483]	[41.355,10.980,-5.985]	[30.135,32.101,31.589]
RO3	[29.520,-38.993,37.019]	[42.840,14.180,-4.467]	[31.296,34.836,33.439]
RO4	[32.285,-40.491,38.555]	[44.468,17.380,-2.999]	[32.456,37.571,35.289]
RO5	[35.051,-41.990,40.091]	[46.198,20.554,-1.496]	[33.617,40.307,37.139]
RO6	[37.816,-43.488,41.626]	[47.958,23.712,0.128]	[34.777,43.042,38.989]
RO7	[40.581,-44.986,43.162]	[49.731,26.776,1.809]	[35.938,45.777,40.839]
RO8	[43.346,-46.485,44.698]	[51.496,29.768,3.496]	[37.098,48.512,42.689]
RO9	[46.111,-47.983,46.234]	[53.227,32.769,5.202]	[38.259,51.247,44.539]
RO10	[48.877,-49.481,47.770]	[54.978,35.781,6.875]	[39.419,53.982,46.389]
RM1	[19.881,-37.862,38.911]	[42.367,3.722,-1.248]	[30.868,25.012,34.478]
RM2	[19.180,-37.687,42.335]	[42.294,3.214,2.985]	[30.540,24.012,37.816]
RM3	[18.478,-37.512,45.760]	[42.270,2.791,7.259]	[30.211,23.011,41.154]
RM4	[17.777,-37.336,49.184]	[42.316,2.494,11.598]	[29.883,22.011,44.492]
RM5	[17.075,-37.161,52.609]	[42.471,2.267,15.932]	[29.554,21.010,47.829]
RM6	[16.374,-36.986,56.033]	[42.625,2.010,20.098]	[29.226,20.010,51.167]
RM7	[15.673,-36.810,59.458]	[42.764,1.674,24.166]	[28.897,19.009,54.505]
RM8	[14.971,-36.635,62.882]	[42.775,1.071,28.134]	[28.569,18.009,57.843]
RM9	[14.270,-36.459,66.307]	[42.737,0.499,32.162]	[28.240,17.008,61.181]
RM10	[13.568,-36.284,69.731]	[42.696,-0.127,36.195]	[27.911,16.008,64.518]
RM11	[12.867,-36.109,73.156]	[42.642,-1.049,40.150]	[27.583,15.007,67.856]
RM12	[12.166,-35.933,76.580]	[42.577,-1.886,44.096]	[27.254,14.007,71.194]
RM13	[11.464,-35.758,80.005]	[42.512,-2.554,48.031]	[26.926,13.006,74.532]
RM14	[10.763,-35.583,83.429]	[42.456,-3.159,51.981]	[26.597,12.006,77.870]
RM15	[10.061,-35.407,86.854]	[42.418,-3.718,55.975]	[26.269,11.005,81.208]
RM16	[9.360,-35.232,90.278]	[42.460,-4.302,60.021]	[25.940,10.005,84.545]
RM17	[8.659,-35.057,93.703]	[42.407,-4.994,63.975]	[25.612,9.004,87.883]
